label,final_loss,perplexity,final_energy,iters_per_token,decode_ms_per_token,forward_ms_per_token,total_seconds,tokens_seen,epochs,T,k,use_wmf,beta_end,device,hardware_name,dtype
T1_k16_kl_be1.5,0.002108963075443171,1.0021111885022427,8.600713670253754,0.0,3.7603659056912875,0.035514431071230014,165.38368862500647,2007040,49,1,16,0,1.5,cpu,arm,fp32
T2_k16_kl_be1.5,0.06470409389585256,1.0668432922306208,323.26333541870116,0.0,5.854283874214161,0.043624186218949035,226.17951500002528,2007040,49,2,16,0,1.5,cpu,arm,fp32
