label,final_loss,perplexity,final_energy,iters_per_token,decode_ms_per_token,forward_ms_per_token,total_seconds,tokens_seen,epochs,T,k,beta_end,device,hardware_name,dtype
T1_k16_kl_be1.2,0.13745632734859273,1.147351596991547,380.1097181047712,0.00390625,1.6147525930136908,0.01373074079917084,23.88324112497503,537600,5,1,16,1.2,cpu,arm,fp32
T1_k16_kl_be1.5,0.1427522252092049,1.153443971917934,182.1834327152797,0.00390625,1.6188710924325278,0.01379942712749956,24.126595666981302,537600,5,1,16,1.5,cpu,arm,fp32
T1_k32_kl_be1.2,0.1349764690157913,1.1445098525911823,642.7464468819754,0.00390625,1.932222656250815,0.017138619796241983,27.172071957960725,537600,5,1,32,1.2,cpu,arm,fp32
T1_k32_kl_be1.5,0.14075773143697354,1.1511457277780068,512.4315362112862,0.00390625,1.8297903443453833,0.016601562492724042,27.164140333014075,537600,5,1,32,1.5,cpu,arm,fp32
T2_k16_kl_be1.2,0.12529577702017766,1.133483661910786,49231.54060639881,0.0078125,2.5448645938013215,0.02119135145524827,30.037123583024368,537600,5,2,16,1.2,cpu,arm,fp32
T2_k16_kl_be1.5,0.12360252981916779,1.131566017853752,5073.236321440198,0.0078125,2.6880989371420583,0.022521050823343103,30.132143791997805,537600,5,2,16,1.5,cpu,arm,fp32
T2_k32_kl_be1.2,0.12755143094719165,1.1360432945213774,166436.27295386905,0.0078125,2.958309905807255,0.026746365923221067,34.630088082980365,537600,5,2,32,1.2,cpu,arm,fp32
T2_k32_kl_be1.5,0.12469741317133108,1.13280562913962,3981.6784635997956,0.0078125,3.134203125227941,0.028004721343677375,35.511213332996704,537600,5,2,32,1.5,cpu,arm,fp32
