label,final_loss,perplexity,final_energy,iters_per_token,decode_ms_per_token,forward_ms_per_token,total_seconds,tokens_seen,epochs,T,k,use_wmf,beta_end,device,hardware_name,dtype
T3_k32_wmf_be1.2,0.00011741909065676737,1.000117425984548,33933.578393554686,0.0,29.804173187585548,0.2892966588206036,757.1932360840146,2007040,49,3,32,0,1.2,cpu,arm,fp32
T3_k32_wmf_be1.5,6.124947951775539e-05,1.0000612513553053,11187.204064941407,0.0,20.992488281990518,0.22789252216171008,661.9009717080044,2007040,49,3,32,0,1.5,cpu,arm,fp32
