label,ppl,decode_ms_per_token,T,k,use_wmf,beta_end
T3_k16_wmf_be1.5,1.0775776572748785,9.321812500274973,3,16,1,1.5
T2_k16_wmf_be1.5,1.103640944870488,6.2829609378241,2,16,1,1.5
T1_k16_wmf_be1.2,1.1077848304723728,3.6306471556599718,1,16,1,1.2
T1_k16_wmf_be1.5,1.115073334752996,3.5620495000330266,1,16,1,1.5
T1_k32_kl_be1.2,1.1250287522819629,1.9007942501048092,1,32,0,1.2
T1_k16_kl_be1.5,1.125069527783536,1.5862330619711429,1,16,0,1.5
T1_k16_kl_be1.2,1.1432442614036535,1.5707500006101327,1,16,0,1.2
