label,final_loss,perplexity,final_energy,iters_per_token,decode_ms_per_token,forward_ms_per_token,total_seconds,tokens_seen,epochs,T,k,use_wmf,beta_end,device,hardware_name,dtype
T1_k16_kl_be1.5,0.04031226617544668,1.041135834942306,1148.7646142868768,0.0,5.562958343944047,0.04215418751603769,121.32382675004192,2150400,10,1,16,0,1.5,cpu,arm,fp32
T1_k32_kl_be1.5,0.048147804131509646,1.049325738542674,1152.498702130999,0.0,5.710414063287317,0.05782253651887004,157.86968983296538,2150400,10,1,32,0,1.5,cpu,arm,fp32
T2_k16_kl_be1.5,0.03964218222480711,1.040438420218178,2605.424510846819,0.0,7.95687759455177,0.07299039702957089,185.33944770798553,2150400,10,2,16,0,1.5,cpu,arm,fp32
T2_k32_kl_be1.5,0.033582684194386404,1.0341529482946936,30233.562476748513,0.0,10.263970030791825,0.11231396479161049,214.81010762503138,2150400,10,2,32,0,1.5,cpu,arm,fp32
T3_k16_kl_be1.5,0.025813887690622192,1.0261499515633021,60817.26948474703,0.0,10.131631530384766,0.1004719505696509,233.63885899999877,2150400,10,3,16,0,1.5,cpu,arm,fp32
T3_k32_kl_be1.5,0.021244255402139277,1.0214715211063172,278606.3875372024,0.0,14.326231779705267,0.12887461988005575,272.8325342910248,2150400,10,3,32,0,1.5,cpu,arm,fp32
