label,final_loss,perplexity,final_energy,iters_per_token,decode_ms_per_token,forward_ms_per_token,total_seconds,tokens_seen,epochs,T,k,use_wmf,beta_end,device,hardware_name,dtype
T1_k16_kl_be1.2,0.13405611302614923,1.1434569806759525,345.12877088274274,0.0,1.6888658738025697,0.013843587263788018,24.071385750023182,537600,5,1,16,0,1.2,cpu,arm,fp32
T1_k16_kl_be1.5,0.130917970889381,1.1398742746039434,3142.8831548781623,0.0,1.5843007822695654,0.0135803489532312,23.701734707981814,537600,5,1,16,0,1.5,cpu,arm,fp32
T1_k16_wmf_be1.2,0.10754276856425263,1.1135384841703442,951.9048573811849,0.0,3.6579934694600524,0.033308756504387325,43.792655542027205,537600,5,1,16,0,1.2,cpu,arm,fp32
T1_k16_wmf_be1.5,0.10087530743219845,1.106138705888231,610.0636883690244,0.0,3.7589387811749475,0.0338699556626428,42.87479087500833,537600,5,1,16,0,1.5,cpu,arm,fp32
T1_k32_kl_be1.2,0.12857935018837452,1.1372116556702097,658.2128259567987,0.0,1.911842437039013,0.017693033896648558,27.589578167011496,537600,5,1,32,0,1.2,cpu,arm,fp32
T1_k32_kl_be1.5,0.12113376594192925,1.1287758940397092,872.3574214390346,0.0,1.9320924384373939,0.01817518356498719,28.06883237499278,537600,5,1,32,0,1.5,cpu,arm,fp32
T1_k32_wmf_be1.2,0.10484567778739369,1.1105392162620478,863.5470543271019,0.0,10.649270843714476,0.07805625909895753,67.75917820900213,537600,5,1,32,0,1.2,cpu,arm,fp32
T1_k32_wmf_be1.5,0.106869132418762,1.1127886169951855,483.6623289562407,0.0,7.858079437937704,0.0754925130574217,66.77967399999034,537600,5,1,32,0,1.5,cpu,arm,fp32
T2_k16_kl_be1.2,0.14373318837689503,1.1545760131249645,7265.245884486607,0.0,2.5499648436380085,0.021766113301661488,30.978318665991537,537600,5,2,16,0,1.2,cpu,arm,fp32
T2_k16_kl_be1.5,0.12405621543349254,1.1320795095508014,11992.496945917039,0.0,2.5784388126339763,0.02261669927368833,30.88609004096361,537600,5,2,16,0,1.5,cpu,arm,fp32
T2_k16_wmf_be1.2,0.09165989540606027,1.095992006769887,6481.612369791666,0.0,5.949736969341757,0.05982128914183704,59.41862004098948,537600,5,2,16,0,1.2,cpu,arm,fp32
T2_k16_wmf_be1.5,0.09704212426274483,1.101906789654511,5035.979503522601,0.0,6.5032525944843655,0.06267051950696138,59.958709999977145,537600,5,2,16,0,1.5,cpu,arm,fp32
T2_k32_kl_be1.2,0.12384132742660031,1.1318362653774143,2510.970150030227,0.0,2.9601367186842253,0.028473794221402688,35.13798258296447,537600,5,2,32,0,1.2,cpu,arm,fp32
T2_k32_kl_be1.5,0.12278676814887496,1.130643306076601,6327.513203648158,0.0,3.031298188943765,0.028212834725612385,35.38376550003886,537600,5,2,32,0,1.5,cpu,arm,fp32
T2_k32_wmf_be1.2,0.12807761522542152,1.1366412199380245,8614.176672944568,0.0,14.158605468765018,0.14894704948649937,106.43296100001317,537600,5,2,32,0,1.2,cpu,arm,fp32
T2_k32_wmf_be1.5,0.10283973488867992,1.1083137708119226,2421.6230320521763,0.0,14.125024750683224,0.15182373181232833,107.88148008304415,537600,5,2,32,0,1.5,cpu,arm,fp32
T3_k16_kl_be1.2,0.12867077900806353,1.1373156343428754,10703.93130812872,0.0,3.5674622504302533,0.030146864598161,36.93749650003156,537600,5,3,16,0,1.2,cpu,arm,fp32
T3_k16_kl_be1.5,0.14017510099691294,1.1504752305810633,20248.80280877976,0.0,3.447792967563146,0.029645127597177634,37.030031125003006,537600,5,3,16,0,1.5,cpu,arm,fp32
T3_k16_wmf_be1.2,0.0752808244580159,1.078186889623339,22483.109742373512,0.0,9.605302093405044,0.08986724090694527,76.49559349997435,537600,5,3,16,0,1.2,cpu,arm,fp32
T3_k16_wmf_be1.5,0.07889081125031225,1.0820861639843653,30852.733900669642,0.0,9.133917968938476,0.09303906373740271,76.39626737497747,537600,5,3,16,0,1.5,cpu,arm,fp32
T3_k32_kl_be1.2,0.1365105255019097,1.1462669427471672,11726.650454566592,0.0,3.988374999607913,0.03965625001001172,41.65119429101469,537600,5,3,32,0,1.2,cpu,arm,fp32
T3_k32_kl_be1.5,0.11888464534699562,1.1262399937711172,3738.348021298363,0.0,4.994348968466511,0.04940071744385932,43.56639700004598,537600,5,3,32,0,1.5,cpu,arm,fp32
T3_k32_wmf_be1.2,0.061214015239550335,1.0631264150963953,27532.8474609375,0.0,21.66551171831088,0.23319666926605956,146.4258697500336,537600,5,3,32,0,1.2,cpu,arm,fp32
T3_k32_wmf_be1.5,0.08343371209034342,1.0870131570746577,15174.70298549107,0.0,21.653450530720875,0.2257644844121387,146.71456645795843,537600,5,3,32,0,1.5,cpu,arm,fp32
