label,final_loss,perplexity,final_energy,iters_per_token,decode_ms_per_token,forward_ms_per_token,total_seconds,tokens_seen,epochs,T,k,use_wmf,beta_end,device,hardware_name,dtype
T2_k32_wmf_be1.2,0.00929355782403339,1.009336877025053,126209.46130952382,0.0,22.900781250427826,0.20283355077784412,586.5901459999732,2150400,10,2,32,0,1.2,cpu,arm,fp32
T2_k32_wmf_be1.5,0.015544006348742792,1.0156654428025593,85061.109375,0.0,18.473299467586912,0.2028967017698354,580.9035602089716,2150400,10,2,32,0,1.5,cpu,arm,fp32
T3_k32_wmf_be1.2,0.05641032898845532,1.0580317357703475,314386.2574265253,0.0,23.22538934276963,0.24042887366704235,628.5380824999884,2150400,10,3,32,0,1.2,cpu,arm,fp32
T3_k32_wmf_be1.5,0.006720352796065483,1.006742985037394,225209.33050595238,0.0,25.516677093037288,0.266137097620837,785.472024207993,2150400,10,3,32,0,1.5,cpu,arm,fp32
