label,final_loss,perplexity,final_energy,iters_per_token,decode_ms_per_token,forward_ms_per_token,total_seconds,tokens_seen,epochs,T,k,use_wmf,beta_end,device,hardware_name,dtype
T1_k16_kl_be1.5,0.010248144646175206,1.0103008367253767,7118.185040283203,0.0,4.259114593878621,0.01993484109637696,105.07757541700266,2007040,49,1,16,0,1.5,cpu,arm,fp32
T1_k32_kl_be1.5,0.0055422803910914805,1.0055576672400015,15151.728466796874,0.0,4.624785156920552,0.025515786470956908,139.29395966703305,2007040,49,1,32,0,1.5,cpu,arm,fp32
T2_k16_kl_be1.5,0.0058530364854959775,1.0058701989714267,21671.803833007812,0.0,4.897945313132368,0.13153325782392736,164.2996978330193,2007040,49,2,16,0,1.5,cpu,arm,fp32
T2_k32_kl_be1.5,0.013275574869476258,1.0133640865610307,11633.238134765625,0.0,8.204756530176383,0.0792469076410877,195.9819462079904,2007040,49,2,32,0,1.5,cpu,arm,fp32
T3_k16_kl_be1.5,0.005270318433031207,1.0052842309916905,12203.091040039062,0.0,10.169526030949783,0.09051752347962368,210.43571354198502,2007040,49,3,16,0,1.5,cpu,arm,fp32
T3_k32_kl_be1.5,0.00431682458256546,1.0043261554916048,14248.071508789062,0.0,14.03344271966489,0.11268175004867469,251.24658174999058,2007040,49,3,32,0,1.5,cpu,arm,fp32
