label,final_loss,perplexity,final_energy,iters_per_token,decode_ms_per_token,forward_ms_per_token,total_seconds,tokens_seen,epochs,T,k,use_wmf,beta_end,device,hardware_name,dtype
T1_k16_kl_be1.3,0.045998682405444836,1.0470730313383034,1358.8946175711496,0.0,4.192584656266263,0.023679417987902223,128.9403989589773,2150400,10,1,16,0,1.3,cpu,arm,fp32
T1_k16_kl_be1.4,0.05205660509777122,1.0534353706378716,617.880663335891,0.0,3.6047252815478714,0.03250238804260638,125.43565320898779,2150400,10,1,16,0,1.4,cpu,arm,fp32
T1_k16_kl_be1.5,0.05172348331571335,1.0530845068133576,419.53004179454985,0.0,4.22070703098143,0.029652669278827187,124.93322087498382,2150400,10,1,16,0,1.5,cpu,arm,fp32
T1_k16_kl_be1.6,0.050766079094527024,1.0520767617479354,971.8778953915551,0.0,3.6819439992541447,0.03300086723356799,125.20957795897266,2150400,10,1,16,0,1.6,cpu,arm,fp32
T2_k16_kl_be1.3,0.0469569442926773,1.0480768824166813,9201.149475678943,0.0,2.9118033744452987,0.022889920577047935,162.92188604100375,2150400,10,2,16,0,1.3,cpu,arm,fp32
T2_k16_kl_be1.4,0.0430804096500478,1.0440218409064004,15152.64328264509,0.0,6.265269530558726,0.0473573672176523,159.48913620901294,2150400,10,2,16,0,1.4,cpu,arm,fp32
T2_k16_kl_be1.5,0.0367183118468217,1.0374007561732306,10330.1763671875,0.0,6.989802062889794,0.038384766867238795,174.20537666702876,2150400,10,2,16,0,1.5,cpu,arm,fp32
T2_k16_kl_be1.6,0.035015952457684935,1.035636229610979,25599.00220889137,0.0,5.658531250446686,0.03681884898772599,172.98449533298844,2150400,10,2,16,0,1.6,cpu,arm,fp32
